"File","Variable","ValueLength"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AWS_ACCESS_KEY_ID","20"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AWS_SECRET_ACCESS_KEY","40"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AWS_DEFAULT_REGION","9"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AUTH_DB_HOST","7"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AUTH_DB_PORT","4"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AUTH_DB_NAME","15"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AUTH_DB_USER","10"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","AUTH_DB_PASSWORD","12"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","TRANSACTION_DB_HOST","14"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","TRANSACTION_DB_PORT","4"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","TRANSACTION_DB_NAME","23"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","TRANSACTION_DB_USER","10"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","TRANSACTION_DB_PASSWORD","11"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","JWT_SECRET","17"
"C:\Users\owner\Desktop\DevSecOps\SecureFlow-VulnerableCodebase\.env.txt","FLASK_ENV","11"
